id,idno,title,nation,authoring_entity,year_start,year_end,created,changed
2114,AFG_2017_LCS_v01_M_ILO_VAR,"Living Condition Survey 2017",Afghanistan,"Central Statistics Office (CSO)",2017,2017,Mar-24-20,Mar-24-20
3022,AFG_2014_LCS_v01_M_ILO_VAR,"Living Condition Survey 2014",Afghanistan,"Central Statistics Office (CSO)",2014,2014,Sep-29-20,Sep-29-20
2115,AFG_2012_LCS_v01_M_ILO_VAR,"Living Condition Survey 2012",Afghanistan,"Central Statistics Office (CSO)",2012,2012,Mar-24-20,Mar-24-20
1644,AFG_2012_NRVA_v01_M,"National Risk and Vulnerability Assessment 2011-2012",Afghanistan,"Central Statistics Organization (CSO)",2012,2012,Oct-18-17,Oct-26-17
2116,AFG_2008_LCS_v01_M_ILO_VAR,"Living Condition Survey 2008",Afghanistan,"Central Statistics Office (CSO)",2008,2008,Mar-24-20,Mar-24-20
3025,ALB_2019_LFS_v01_M_ILO_VAR,"Labour Force Survey 2019",Albania,"Institute of statistics (INSTAT)",2019,2019,Sep-29-20,Sep-29-20
3026,ALB_2018_LFS_v01_M_ILO_VAR,"Labour Force Survey 2018",Albania,"Institute of statistics (INSTAT)",2018,2018,Sep-29-20,Sep-29-20
3027,ALB_2017_LFS_v01_M_ILO_VAR,"Labour Force Survey 2017",Albania,"Institute of statistics (INSTAT)",2017,2017,Sep-29-20,Sep-29-20
3028,ALB_2016_LFS_v01_M_ILO_VAR,"Labour Force Survey 2016",Albania,"Institute of statistics (INSTAT)",2016,2016,Sep-29-20,Sep-29-20
3029,ALB_2015_LFS_v01_M_ILO_VAR,"Labour Force Survey 2015",Albania,"Institute of statistics (INSTAT)",2015,2015,Sep-29-20,Sep-29-20
3030,ALB_2014_LFS_v01_M_ILO_VAR,"Labour Force Survey 2014",Albania,"Institute of statistics (INSTAT)",2014,2014,Sep-29-20,Sep-29-20
1884,ALB_2013_LFS_v01_M_ILO,"Labour Force Survey 2013",Albania,"Institute of Statistics of Albania",2013,2013,Mar-23-18,Mar-23-18
1511,ALB_2013_RMRS_v01_M_ILO,"Returm Migration Survey 2013",Albania,"Institute of Statistics of Albania",2013,2013,Jun-28-17,Jun-28-17
1916,ALB_2012_LFS_v01_M_ILO,"Labour Force Survey 2012",Albania,"Institute of Statistics of Albania",2012,2012,Apr-06-18,Mar-29-19
1509,ALB_2012_LSMS_v01_M_ILO,"Living Standards Measurement Survey 2012",Albania,"Institute of Statistics of Albania",2012,2012,Jun-27-17,Jun-28-17
863,ALB_2011_CPB_v01_M_DIS_ILO,"Censusi i Popullsisë dhe Banesave 2011",Albania,"INSTAT (Albanian Institute of Statistics) Altin Xhikneli Blv. Zhan d'Ark , NR. 3Tiranë, 1001, Tel:+355 4 2222 411, Fax:+355 4 2228300, e-mail: info@instat.gov.al",2011,2011,Sep-01-15,Mar-02-17
1015,ALB_2011_LFS_v01_M,"Labour Force Survey 2011",Albania,"Institute of Statistics of Albania",2011,2011,Dec-17-15,Dec-17-15
1014,ALB_2010_LFS_v01_M,"Labour Force Survey 2010",Albania,"Institute of Statistics of Albania",2010,2010,Dec-17-15,Dec-17-15
2729,ALB_2010_NCLS_v01_M_ILO_VAR,"National Child Labour Survey 2010",Albania,"Institute of statistics (INSTAT)",2010,2010,May-21-20,May-21-20
1013,ALB_2009_LFS_v01_M,"Labour Force Survey 2009",Albania,"Institute of Statistics of Albania",2009,2009,Dec-17-15,Dec-17-15
1510,ALB_2008_BEEPS_v01_M_ILO,"Business Environment and Enterprise Performance Survey 2008",Albania,"Institute of Statistics of Albania",2008,2008,Jun-28-17,Jun-28-17
1012,ALB_2008_LFS_v01_M,"Labour Force Survey 2008",Albania,"Institute of Statistics of Albania",2008,2008,Dec-17-15,Dec-17-15
1508,ALB_2008_LSMS_v01_M_ILO,"Living Standards Measurement Survey 2008",Albania,"Institute of Statistics of Albania",2008,2008,Jun-27-17,Jun-27-17
1011,ALB_2007_LFS_v01_M,"Labour Force Survey 2007",Albania,"Institute of Statistics of Albania",2007,2007,Dec-17-15,Dec-17-15
1507,ALB_2005_LSMS_v01_M_ILO,"Living Standards Measurement Survey 2005",Albania,"Institute of Statistics of Albania",2005,2005,Jun-27-17,Jun-27-17
1506,ALB_2002_LSMS_v01_M_ILO,"Living Standards Measurement Survey 2002",Albania,"Albanian Institute of Statistics",2002,2002,Jun-26-17,Jun-26-17
3095,DZA_2013_MICS_v01_M_ILO_VAR,"Multi Indicator Cluster Survey 2013",Algeria,"Office National des Statistiques",2013,2013,Sep-29-20,Sep-29-20
864,DZA_2006_MICS3_v01_M_DIS,"Enquête Nationale à Indicateurs Multiples 2006, MICS3",Algeria,"Office nationale de la statististique",2006,2006,Sep-01-15,Jun-30-17
3024,AGO_2016_DHSP_v01_M_ILO_VAR,"Demographic and Health Survey 2016",Angola,"Instituto Nacional de Estatistica",2016,2016,Sep-29-20,Sep-29-20
3254,AGO_2014_CENSUS_v01_M_ILO_VAR,"Population Census 2014",Angola,"Instituto Nacional de Estatistica",2014,2014,May-09-21,May-09-21
2119,AGO_2011_QUIBB_v01_M_ILO_VAR,"Questionnaire sur les Indicateurs de Base du Bien-être 2011",Angola,"Instituto Nacional de Estatistica",2011,2011,Mar-24-20,Mar-24-20
2120,AGO_2009_QUIBB_v01_M_ILO_VAR,"Questionnaire sur les Indicateurs de Base du Bien-être 2009",Angola,"Instituto Nacional de Estatistica",2009,2009,Mar-24-20,Mar-24-20
2122,AGO_2004_QUIBB_v01_M_ILO_VAR,"Questionnaire sur les Indicateurs de Base du Bien-être 2004",Angola,"Instituto Nacional de Estatistica",2004,2004,Mar-24-20,Mar-24-20
2788,ARG_2019_EPH_v01_M_ILO_VAR,"Encuesta Permanente de Hogares (Urban) 2019",Argentina,"Instituto Nacional de Estadistica y Censos (INDEC)",2019,2019,Jun-26-20,Jun-26-20
2135,ARG_2018_EPH_v01_M_ILO_VAR,"Encuesta Permanente de Hogares (Urban) 2018",Argentina,"Instituto Nacional de Estadistica y Censos (INDEC)",2018,2018,Mar-24-20,Mar-24-20
3021,ARG_2017_EPH_v01_M_ILO_VAR,"Encuesta Permanente de Hogares (Urban) 2017",Argentina,"Instituto Nacional de Estadistica y Censos (INDEC)",2017,2017,Jul-22-20,Jul-22-20
2130,ARG_2014_EAHU_v01_M_ILO_VAR,"Encuesta Anual de Hogares Urbanos 2014",Argentina,"Instituto Nacional de Estadistica y Censos (INDEC)",2014,2014,May-21-20,May-21-20
