Country,Area,Age,Survey Availability ,Year,Time use,Women
Luxembourg, ,Age:10-74,2005 and later,2014,Paid and subsistence work,2.75
Finland, ,Age:10+,Up to 1984,1979,Paid and subsistence work,3.116666667
Republic of Korea, ,Age:10+,1995 - 2004,1999,Paid and subsistence work,3.183333333
Estonia, ,Age:10+,1995 - 2004,1999-00,Paid and subsistence work,2.783333333
Finland, ,Age:10+,1995 - 2004,1999-00,Paid and subsistence work,3.05
State of Palestine, ,Age:10+,1995 - 2004,1999-00,Paid and subsistence work,0.533333333
South Africa, ,Age:10+,1995 - 2004,2000,Paid and subsistence work,1.933333333
Germany, ,Age:10+,1995 - 2004,2001-02,Paid and subsistence work,2.15
Lao People's Democratic Republic, ,Age:10+,1995 - 2004,2002-03,Paid and subsistence work,4.5
Mauritius, ,Age:10+,1995 - 2004,2003,Paid and subsistence work,1.933333333
Republic of Korea, ,Age:10+,1995 - 2004,2004,Paid and subsistence work,3.016666667
Iraq, ,Age:10+,2005 and later,2007,Paid and subsistence work,0.466666667
Pakistan, ,Age:10+,2005 and later,2007,Paid and subsistence work,1.3
Lao People's Democratic Republic, ,Age:10+,2005 and later,2007-08,Paid and subsistence work,4
Brazil, ,Age:10+,2005 and later,2009,Paid and subsistence work,2.75
Ghana, ,Age:10+,2005 and later,2009,Paid and subsistence work,3.833333333
Republic of Korea, ,Age:10+,2005 and later,2009,Paid and subsistence work,2.883333333
Thailand, ,Age:10+,2005 and later,2009,Paid and subsistence work,4.5
The former Yugoslav Republic of Macedonia, ,Age:10+,2005 and later,2009,Paid and subsistence work,1.85
Estonia, ,Age:10+,2005 and later,2009-10,Paid and subsistence work,2.683333333
Finland, ,Age:10+,2005 and later,2009-10,Paid and subsistence work,2.7
South Africa, ,Age:10+,2005 and later,2010,Paid and subsistence work,2.166666667
Albania, ,Age:10+,2005 and later,2010-11,Paid and subsistence work,1.933333333
Republic of Moldova, ,Age:10+,2005 and later,2011-12,Paid and subsistence work,2.783333333
Germany, ,Age:10+,2005 and later,2012-13,Paid and subsistence work,2.15
State of Palestine, ,Age:10+,2005 and later,2012-13,Paid and subsistence work,0.6
Ethiopia, ,Age:10+,2005 and later,2013,Paid and subsistence work,3.316666667
Greece, ,Age:10+,2005 and later,2013-14,Paid and subsistence work,1.3
Republic of Korea, ,Age:10+,2005 and later,2014,Paid and subsistence work,2.433333333
Belarus, ,Age:10+,2005 and later,2014-15,Paid and subsistence work,3.2
Belgium, ,Age:12+,1998-00,1998-00,Paid and subsistence work,1.6
New Zealand, ,Age:12+,1995 - 2004,1998-99,Paid and subsistence work,2.266666667
Mongolia, ,Age:12+,1995 - 2004,2000,Paid and subsistence work,4.1
Mexico, ,Age:12+,1995 - 2004,2002,Paid and subsistence work,2.033333333
Costa Rica, ,Age:12+,1995 - 2004,2004,Paid and subsistence work,1.95
Belgium, ,Age:12+,2005 and later,2005,Paid and subsistence work,1.583333333
Mongolia, ,Age:12+,2005 and later,2007,Paid and subsistence work,4.05
New Zealand, ,Age:12+,2005 and later,2009-10,Paid and subsistence work,2.383333333
Kyrgyzstan, ,Age:12+,2005 and later,2010,Paid and subsistence work,2.716666667
Peru, ,Age:12+,2005 and later,2010,Paid and subsistence work,3.05
Mongolia, ,Age:12+,2005 and later,2011,Paid and subsistence work,3.966666667
Algeria, ,Age:12+,2005 and later,2012,Paid and subsistence work,0.5
